instance_id,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,Experiment.id,error_last,error_running-avg-0.5,false_positive_last,false_positive_running-avg-0.5,false_negative_last,false_negative_running-avg-0.5,active_somas_last,active_somas_running-avg-0.5,time_finished
0,0.02,0.0005,0.004,bss2-lambda,0.667,0.8,0.0,0.0,0.667,0.8,12.0,13.2,18.04.24 - 12:45
1,0.02,0.0005,0.006,bss2-lambda,0.667,0.84,0.0,0.0,0.667,0.84,12.0,13.56,18.04.24 - 12:45
2,0.02,0.0005,0.008,bss2-lambda,0.5,0.82,0.0,0.0,0.5,0.82,9.5,13.273,18.04.24 - 12:45
3,0.02,0.0005,0.01,bss2-lambda,0.333,0.753,0.0,0.0,0.333,0.753,9.5,12.793,18.04.24 - 12:45
4,0.02,0.0005,0.012,bss2-lambda,0.167,0.633,0.0,0.0,0.167,0.633,7.667,12.0,18.04.24 - 12:46
5,0.02,0.0005,0.014,bss2-lambda,0.167,0.547,0.0,0.0,0.167,0.547,7.667,11.093,18.04.24 - 12:46
6,0.02,0.0005,0.016,bss2-lambda,0.167,0.473,0.0,0.0,0.167,0.473,7.5,10.5,18.04.24 - 12:46
7,0.02,0.0005,0.018000000000000002,bss2-lambda,0.167,0.413,0.0,0.0,0.167,0.413,7.5,9.98,18.04.24 - 12:46
8,0.02,0.0005,0.02,bss2-lambda,0.0,0.427,0.0,0.073,0.0,0.353,5.667,9.487,18.04.24 - 12:47
9,0.02,0.0005,0.022000000000000002,bss2-lambda,0.167,0.293,0.0,0.0,0.167,0.293,5.5,8.667,18.04.24 - 12:47
10,0.02,0.0005,0.024,bss2-lambda,0.333,0.36,0.333,0.107,0.0,0.253,5.5,8.18,18.04.24 - 12:47
11,0.02,0.001,0.004,bss2-lambda,0.667,0.933,0.0,0.0,0.667,0.933,12.0,14.4,18.04.24 - 12:47
12,0.02,0.001,0.006,bss2-lambda,0.667,0.92,0.0,0.0,0.667,0.92,12.0,14.28,18.04.24 - 12:47
13,0.02,0.001,0.008,bss2-lambda,0.667,0.92,0.0,0.0,0.667,0.92,12.0,14.28,18.04.24 - 12:48
14,0.02,0.001,0.01,bss2-lambda,1.0,0.92,0.0,0.0,1.0,0.92,15.0,14.28,18.04.24 - 12:48
15,0.02,0.001,0.012,bss2-lambda,0.333,0.84,0.0,0.0,0.333,0.84,9.5,13.433,18.04.24 - 12:48
16,0.02,0.001,0.014,bss2-lambda,0.333,0.773,0.0,0.0,0.333,0.773,9.5,12.873,18.04.24 - 12:48
17,0.02,0.001,0.016,bss2-lambda,0.333,0.687,0.0,0.0,0.333,0.687,9.5,12.173,18.04.24 - 12:48
18,0.02,0.001,0.018000000000000002,bss2-lambda,0.167,0.567,0.0,0.0,0.167,0.567,7.667,11.107,18.04.24 - 12:49
19,0.02,0.001,0.02,bss2-lambda,0.167,0.5,0.0,0.0,0.167,0.5,7.5,10.513,18.04.24 - 12:49
20,0.02,0.001,0.022000000000000002,bss2-lambda,0.167,0.447,0.0,0.0,0.167,0.447,7.5,10.04,18.04.24 - 12:49
21,0.02,0.001,0.024,bss2-lambda,0.167,0.393,0.0,0.0,0.167,0.393,7.5,9.6,18.04.24 - 12:49
22,0.02,0.0015,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:50
23,0.02,0.0015,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:50
24,0.02,0.0015,0.008,bss2-lambda,1.0,0.987,0.0,0.0,1.0,0.987,15.0,14.88,18.04.24 - 12:50
25,0.02,0.0015,0.01,bss2-lambda,1.0,0.973,0.0,0.0,1.0,0.973,15.0,14.76,18.04.24 - 12:50
26,0.02,0.0015,0.012,bss2-lambda,1.0,0.96,0.0,0.0,1.0,0.96,15.0,14.64,18.04.24 - 12:50
27,0.02,0.0015,0.014,bss2-lambda,0.667,0.933,0.0,0.0,0.667,0.933,11.5,14.373,18.04.24 - 12:51
28,0.02,0.0015,0.016,bss2-lambda,0.5,0.84,0.0,0.0,0.5,0.84,9.5,13.313,18.04.24 - 12:51
29,0.02,0.0015,0.018000000000000002,bss2-lambda,0.333,0.767,0.0,0.0,0.333,0.767,9.5,12.733,18.04.24 - 12:51
30,0.02,0.0015,0.02,bss2-lambda,0.333,0.707,0.0,0.0,0.333,0.707,9.5,12.233,18.04.24 - 12:51
31,0.02,0.0015,0.022000000000000002,bss2-lambda,0.167,0.573,0.0,0.0,0.167,0.573,7.667,11.08,18.04.24 - 12:51
32,0.02,0.0015,0.024,bss2-lambda,0.167,0.5,0.0,0.0,0.167,0.5,7.5,10.413,18.04.24 - 12:52
33,0.02,0.002,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:52
34,0.02,0.002,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:52
35,0.02,0.002,0.008,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:52
36,0.02,0.002,0.01,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:52
37,0.02,0.002,0.012,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:53
38,0.02,0.002,0.014,bss2-lambda,0.667,0.987,0.0,0.0,0.667,0.987,12.0,14.88,18.04.24 - 12:53
39,0.02,0.002,0.016,bss2-lambda,1.0,0.987,0.0,0.0,1.0,0.987,15.0,14.88,18.04.24 - 12:53
40,0.02,0.002,0.018000000000000002,bss2-lambda,0.5,0.913,0.0,0.0,0.5,0.913,9.5,14.093,18.04.24 - 12:53
41,0.02,0.002,0.02,bss2-lambda,0.5,0.84,0.0,0.0,0.5,0.84,9.5,13.293,18.04.24 - 12:53
42,0.02,0.002,0.022000000000000002,bss2-lambda,0.333,0.767,0.0,0.0,0.333,0.767,9.5,12.573,18.04.24 - 12:54
43,0.02,0.002,0.024,bss2-lambda,0.333,0.7,0.0,0.0,0.333,0.7,9.5,12.053,18.04.24 - 12:54
44,0.02,0.0025,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:54
45,0.02,0.0025,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:54
46,0.02,0.0025,0.008,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:54
47,0.02,0.0025,0.01,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:55
48,0.02,0.0025,0.012,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:55
49,0.02,0.0025,0.014,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:55
50,0.02,0.0025,0.016,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:55
51,0.02,0.0025,0.018000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:55
52,0.02,0.0025,0.02,bss2-lambda,0.5,0.967,0.0,0.0,0.5,0.967,9.5,14.653,18.04.24 - 12:56
53,0.02,0.0025,0.022000000000000002,bss2-lambda,0.5,0.887,0.0,0.0,0.5,0.887,9.5,13.773,18.04.24 - 12:56
54,0.02,0.0025,0.024,bss2-lambda,0.5,0.807,0.0,0.0,0.5,0.807,9.5,12.893,18.04.24 - 12:56
55,0.02,0.003,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:56
56,0.02,0.003,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:56
57,0.02,0.003,0.008,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:57
58,0.02,0.003,0.01,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:57
59,0.02,0.003,0.012,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:57
60,0.02,0.003,0.014,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:57
61,0.02,0.003,0.016,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:57
62,0.02,0.003,0.018000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:58
63,0.02,0.003,0.02,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:58
64,0.02,0.003,0.022000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:58
65,0.02,0.003,0.024,bss2-lambda,0.833,0.953,0.0,0.0,0.833,0.953,15.0,14.593,18.04.24 - 12:58
66,0.02,0.0035,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:58
67,0.02,0.0035,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
68,0.02,0.0035,0.008,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
69,0.02,0.0035,0.01,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
70,0.02,0.0035,0.012,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
71,0.02,0.0035,0.014,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
72,0.02,0.0035,0.016,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 12:59
73,0.02,0.0035,0.018000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:00
74,0.02,0.0035,0.02,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:00
75,0.02,0.0035,0.022000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:00
76,0.02,0.0035,0.024,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:00
77,0.02,0.004,0.004,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:00
78,0.02,0.004,0.006,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:01
79,0.02,0.004,0.008,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:01
80,0.02,0.004,0.01,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:01
81,0.02,0.004,0.012,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:01
82,0.02,0.004,0.014,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:01
83,0.02,0.004,0.016,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:02
84,0.02,0.004,0.018000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:02
85,0.02,0.004,0.02,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:02
86,0.02,0.004,0.022000000000000002,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:02
87,0.02,0.004,0.024,bss2-lambda,1.0,1.0,0.0,0.0,1.0,1.0,15.0,15.0,18.04.24 - 13:02
88,0.03,0.0005,0.004,bss2-lambda,0.333,0.587,0.0,0.0,0.333,0.587,9.5,11.027,18.04.24 - 13:03
89,0.03,0.0005,0.006,bss2-lambda,0.333,0.533,0.0,0.0,0.333,0.533,9.5,10.713,18.04.24 - 13:03
90,0.03,0.0005,0.008,bss2-lambda,0.167,0.473,0.0,0.0,0.167,0.473,7.667,10.587,18.04.24 - 13:03
91,0.03,0.0005,0.01,bss2-lambda,0.167,0.407,0.0,0.0,0.167,0.407,7.5,10.047,18.04.24 - 13:03
92,0.03,0.0005,0.012,bss2-lambda,0.167,0.347,0.0,0.0,0.167,0.347,5.5,9.367,18.04.24 - 13:04
93,0.03,0.0005,0.014,bss2-lambda,0.167,0.293,0.0,0.0,0.167,0.293,5.5,8.72,18.04.24 - 13:04
94,0.03,0.0005,0.016,bss2-lambda,0.0,0.247,0.0,0.0,0.0,0.247,5.5,8.06,18.04.24 - 13:04
95,0.03,0.0005,0.018000000000000002,bss2-lambda,0.0,0.22,0.0,0.053,0.0,0.167,3.667,7.053,18.04.24 - 13:04
96,0.03,0.0005,0.02,bss2-lambda,0.0,0.127,0.0,0.0,0.0,0.127,5.5,6.967,18.04.24 - 13:05
97,0.03,0.0005,0.022000000000000002,bss2-lambda,0.0,0.12,0.0,0.047,0.0,0.073,3.667,5.773,18.04.24 - 13:05
98,0.03,0.0005,0.024,bss2-lambda,0.0,0.113,0.0,0.047,0.0,0.067,3.667,5.527,18.04.24 - 13:05
99,0.03,0.001,0.004,bss2-lambda,0.5,0.653,0.0,0.0,0.5,0.653,9.5,11.733,18.04.24 - 13:05
100,0.03,0.001,0.006,bss2-lambda,0.5,0.653,0.0,0.0,0.5,0.653,9.5,11.573,18.04.24 - 13:05
101,0.03,0.001,0.008,bss2-lambda,0.5,0.653,0.0,0.0,0.5,0.653,9.5,11.473,18.04.24 - 13:06
102,0.03,0.001,0.01,bss2-lambda,0.167,0.573,0.0,0.0,0.167,0.573,9.5,11.293,18.04.24 - 13:06
103,0.03,0.001,0.012,bss2-lambda,0.167,0.48,0.0,0.0,0.167,0.48,7.5,10.5,18.04.24 - 13:06
104,0.03,0.001,0.014,bss2-lambda,0.167,0.413,0.0,0.0,0.167,0.413,7.5,10.013,18.04.24 - 13:06
105,0.03,0.001,0.016,bss2-lambda,0.167,0.347,0.0,0.0,0.167,0.347,7.5,9.3,18.04.24 - 13:07
106,0.03,0.001,0.018000000000000002,bss2-lambda,0.0,0.32,0.0,0.0,0.0,0.32,3.667,9.007,18.04.24 - 13:07
107,0.03,0.001,0.02,bss2-lambda,0.0,0.227,0.0,0.0,0.0,0.227,3.667,7.827,18.04.24 - 13:07
108,0.03,0.001,0.022000000000000002,bss2-lambda,0.0,0.187,0.0,0.0,0.0,0.187,3.667,7.287,18.04.24 - 13:07
109,0.03,0.001,0.024,bss2-lambda,0.0,0.153,0.0,0.0,0.0,0.153,5.5,7.047,18.04.24 - 13:08
110,0.03,0.0015,0.004,bss2-lambda,0.667,0.747,0.0,0.0,0.667,0.747,12.0,12.72,18.04.24 - 13:08
111,0.03,0.0015,0.006,bss2-lambda,0.667,0.787,0.0,0.0,0.667,0.787,11.833,13.073,18.04.24 - 13:08
